PRICE,DISCOUNT_AMT,AMT,QTY,age,educ,size_hh,income_cat,income_est,Min_TIER,TENURE,sales_prop,spring_prop,fall_prop,holiday_prop,bts_prop,clearance_pcnt,RETAIL,WEB,PROD_CATEGORY_COUNT,pcnt_m_casual_bottoms,pcnt_m_knits,pcnt_m_shirts,pcnt_m_suits,pcnt_w_denim,pcnt_w_dress,pcnt_w_knit_tops,pcnt_w_pants,pcnt_w_sweaters,pcnt_w_woven_tops,prop_m_prod,prop_f_prod,TIER,product_category_count,em_received_ty,dm_received_ty,days90,profile,is_redeemer,timeuntil_2,timeuntil_3,timeuntil_4,timeuntil_5,up_trans,management_occ,technical_occ,professinal_occ,sales_occ,officeadmin_occ,bluecollar_occ,farmer_occ,other_occ,retired_occ,EDUC_YEARS,MARRIED,LENGTH_OF_RESIDENCE,CLUSTER,DISTANCE
0.99,0,0.99,1,17,1,1,lt25k,12.5,2,1035,0,0,0,1,0,0.03,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,1,179,0,0,1,0,,,,,1,0,0,0,0,0,0,0,0,1,9,1,1,1,4.239073194
6.89,-15,6.89,1,37,2,2,45k-65k,55,2,1253,0,0,0,1,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,1,0,2,8,9,0,0,0,0,14,77,1,106,5,1,0,0,0,0,0,0,0,0,14,1,12,1,3.670006865
6.97,-0.77,6.97,1,37,1,1,45k-65k,55,2,889,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,1,0,0,0,0,1,2,3,174,7,0,0,0,457,,,,2,1,0,0,0,0,0,0,0,0,16,1,11,1,2.776148512
9.95,0,9.95,1,37,,1,45k-65k,55,2,1050,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,2,173,3,0,0,0,,,,,1,0,0,0,0,0,0,0,1,0,18,1,20,1,3.029937059
9.97,0,9.97,1,37,1,1,45k-65k,55,2,1273,0,0,0,1,0,0.67,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,7,19,5,0,0,0,168,72,7,649,5,0,0,0,1,0,0,0,0,0,12,1,33,1,4.46451142
9.99,-10,9.99,1,17,1,1,45k-65k,55,2,979,0,0,0,1,0,0.65,1,0,2,0,0,0,0,0,0,1,0,0,0,0,1,2,6,181,3,0,1,0,167,,,,2,1,0,0,0,0,0,0,0,0,16,1,3,1,4.452261004
9.99,0,9.99,1,37,1,1,45k-65k,55,2,905,0,0,0,1,0,0.29,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,2,1,167,1,0,0,0,,,,,1,0,1,0,0,0,0,0,0,0,18,1,14,1,3.153268289
11.94,0,11.94,1,37,2,1,45k-65k,55,2,1335,0,0,0,1,0,0.19,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,4,31,2,0,0,0,,,,,1,0,0,0,1,0,0,0,0,0,16,0,30,1,3.28329057
11.97,0,11.97,1,37,,1,45k-65k,55,2,1012,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,2,166,0,0,0,0,,,,,1,1,0,0,0,0,0,0,0,0,18,1,13,1,2.90488585
12.75,-2.25,12.75,1,37,1,1,45k-65k,55,2,1030,1,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,1,2,3,11,2,0,0,0,832,,,,2,0,0,1,0,0,0,0,0,0,12,0,21,1,3.702747779
13.53,-2.39,13.53,1,37,1,1,45k-65k,55,2,1345,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,1,0,0,0,0,1,2,4,24,4,0,0,0,878,,,,2,1,0,0,0,0,0,0,0,0,16,1,11,1,4.01313183
13.93,0,13.93,1,38,2,1,45k-65k,55,2,796,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,5,16,10,0,0,0,,,,,1,0,0,0,1,0,0,0,0,0,12,1,13,1,3.060811319
14.9,0,14.9,1,37,,1,45k-65k,55,2,1239,1,0,0,0,0,0.15,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,5,171,4,0,0,0,449,,,,2,0,0,0,0,1,0,0,0,0,14,1,9,1,3.035858327
14.94,0,14.94,1,37,,1,45k-65k,55,2,886,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,2,171,0,0,0,0,,,,,1,0,0,0,0,0,0,0,1,0,18,0,8,1,2.986350572
14.95,-14.95,14.95,1,37,1,2,45k-65k,55,2,1273,0,0,0,1,0,0.7,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,2,4,169,1,0,0,0,,,,,1,0,0,0,0,0,0,0,0,1,12,0,38,1,4.338181144
16.9,0,16.9,1,37,3,1,65k-85k,75,2,1351,0,0,1,0,0,0.05,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,2,5,164,0,1,0,0,106,237,192,,4,1,0,0,0,0,0,0,0,0,16,0,22,1,4.001825691
16.9,0,16.9,1,37,,1,65k-85k,75,2,1053,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,2,3,10,2,0,1,0,597,,,,2,0,0,1,0,0,0,0,0,0,16,1,13,1,3.008781451
17.94,-11.96,17.94,1,37,1,2,45k-65k,55,2,1218,0,0,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,2,2,169,1,0,0,0,,,,,1,0,0,0,0,0,0,0,0,1,16,1,14,1,3.746618058
17.94,0,17.94,1,37,1,1,65k-85k,75,2,1239,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,2,6,0,1,0,0,742,,,,2,0,0,0,0,1,0,0,0,0,12,0,18,1,4.286793098
17.99,0,17.99,1,37,,1,65k-85k,75,2,1056,0,0,0,1,0,0.05,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,2,10,7,5,1,0,0,13,27,13,33,5,0,0,0,0,1,0,0,0,0,16,0,14,1,3.659960743
17.99,0,17.99,1,37,1,1,65k-85k,75,2,763,0,0,0,1,0,0.26,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,2,169,0,0,0,0,,,,,1,1,0,0,0,0,0,0,0,0,18,1,10,1,2.822391608
18.47,0,18.47,1,48,1,1,65k-85k,75,2,1004,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,2,2,170,0,1,0,0,,,,,1,1,0,0,0,0,0,0,0,0,14,1,15,1,3.198004663
19.9,0,19.9,1,37,1,1,65k-85k,75,2,1267,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,2,3,19,0,0,0,0,,,,,1,1,0,0,0,0,0,0,0,0,16,1,15,1,3.045996288
19.9,0,19.9,1,17,1,1,65k-85k,75,2,1015,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,2,3,174,0,0,1,0,609,,,,2,0,0,0,0,0,1,0,0,0,16,1,1,1,3.442687808
19.9,0,19.9,1,37,1,1,65k-85k,75,2,1215,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,3,11,3,0,0,0,358,,,,2,1,0,0,0,0,0,0,0,0,18,1,8,1,2.818742174
