PRICE,DISCOUNT_AMT,STD_DISCOUNT_AMT,AMT,QTY,age,std_age,educ,size_hh,income cat,income_est,std_income_est,Min_TIER,TENURE,std_TENURE,sales_pcnt,spring_pcnt,fall_pcnt,holiday_pcnt,sales_prop,spring_prop,fall_prop,holiday_prop,std_sales_prop,std_spring_prop,std_fall_prop,std_holiday_prop,bts_pcnt,bts_prop,clearance_pcnt,std_bts_prop,std_clearance_pcnt,RETAIL,WEB,PROD_CATEGORY_COUNT,std_WEB,std_PROD_CATEGORY_COUNT,pcnt_m_casual_bottoms,pcnt_m_knits,pcnt_m_shirts,pcnt_m_suits,pcnt_w_denim,pcnt_w_dress,pcnt_w_knit_tops,pcnt_w_pants,pcnt_w_sweaters,pcnt_w_woven_tops,pcnt_m_prod,pcnt_w_prod,prop_m_prod,prop_f_prod,std_prop_f_prod,TIER,product_category_count,em_received_ty,dm_received_ty,std_product_cat_count,std_em_rcvd,std_dm_rcvd,days90,profile,is_redeemer,timeuntil_2,timeuntil_3,timeuntil_4,timeuntil_5,up_trans,std_timeuntil_2,std_timeuntil_3,std_timeuntil_4,std_timeuntil_5,std_up_trans,management_occ,technical_occ,professinal_occ,sales_occ,officeadmin_occ,bluecollar_occ,farmer_occ,other_occ,retired_occ,EDUC_YEARS,MARRIED,LENGTH_OF_RESIDENCE,std_EDUC_YEARS,std_LENGTH_OF_RESIDENCE
4.26E-14,-31.91,0.25004805,4.26E-14,1,37,0.578438824,1,3,lt25k,12.5,-1.728330788,2,808,0.01549758,0,0,0,0,0,0,0,0,-0.677308354,-0.834975019,-0.743819183,-0.666278948,0,0,0.59,-0.305775062,2.222057075,0,1,6,3.510715962,0.809097778,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.864570794,2,8,21,0,0.950195636,-1.094342584,-1.078954164,1,1,0,3,3,12,,4,-0.769375258,-0.749128431,-0.689698362,,0.711168748,0,0,0,1,0,0,0,0,0,16,1,10,0.172498868,-0.403417992
0.98,-43.92,0.162721845,0.98,1,52,2.150700911, ,3,45k-65k,55,-0.443413637,2,96,-1.999509773,1,0,0,0,1,0,0,0,2.439381338,-0.834975019,-0.743819183,-0.666278948,0,0,0,-0.305775062,-0.568772913,1,0,6,-0.429593756,0.809097778,0,0,-14.265,0,0,0,0,0,0,0,-44.816,45.816,0.49,0.51,-0.246387784,2,6,4,0,0.20624607,-1.308582338,-1.078954164,1,0,0,25,,,,2,-0.659794919,,,,-0.5575932,0,0,0,0,0,0,0,0,1,14,1,27,-0.703927834,1.351004451
0.99,0,0.48206963,0.99,1,17,-1.517910626,1,1,lt25k,12.5,-1.728330788,2,1035,0.657922677,0,0,0,1,0,0,0,1,-0.677308354,-0.834975019,-0.743819183,2.352981093,0,0,0.03,-0.305775062,-0.426866304,1,0,1,-0.429593756,-1.368072411,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.864570794,2,1,179,0,-1.653627847,0.896826892,-1.078954164,0,1,0,,,,,1,,,,,-1.191974174,0,0,0,0,0,0,0,0,1,9,1,1,-2.894994589,-1.332229873
3.99,-19.98,0.336792564,3.99,1,37,0.578438824,1,2,45k-65k,55,-0.443413637,2,1132,0.932439128,1,0,0,0,1,0,0,0,2.439381338,-0.834975019,-0.743819183,-0.666278948,0,0,0.01,-0.305775062,-0.52147071,1,0,2,-0.429593756,-0.932638373,0,1,0,0,0,0,0,0,0,0,1,0,1,0,-1.402691609,2,5,14,0,-0.165728714,-1.182558953,-1.078954164,1,0,0,308,644,,,3,0.749806708,2.982402841,,,0.076787774,0,0,0,0,1,0,0,0,0,18,1,22,1.04892557,0.83499785
5.09,-0.9,0.475525619,5.09,1,37,0.578438824,1,2,45k-65k,55,-0.443413637,2,759,-0.123175679,1,0,0,0,1,0,0,0,2.439381338,-0.834975019,-0.743819183,-0.666278948,0,0,0,-0.305775062,-0.568772913,1,0,2,-0.429593756,-0.932638373,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.864570794,2,3,174,2,-0.90967828,0.833815199,-0.622733733,0,0,0,,,,,1,,,,,-1.191974174,0,0,1,0,0,0,0,0,0,18,0,10,1.04892557,-0.403417992
6.89,-15,0.373002764,6.89,1,37,0.578438824,2,2,45k-65k,55,-0.443413637,2,1253,1.274877175,0,0,0,1,0,0,0,1,-0.677308354,-0.834975019,-0.743819183,2.352981093,0,0,0,-0.305775062,-0.568772913,1,0,3,-0.429593756,-0.497204335,0,0,0,0,0,0,0,0,0,0,1,0,1,0,-1.402691609,2,8,9,0,0.950195636,-1.245570646,-1.078954164,0,0,0,14,77,1,106,5,-0.714585088,-0.318343229,-0.761274473,-0.016055753,1.345549722,1,0,0,0,0,0,0,0,0,14,1,12,-0.703927834,-0.197015352
6.97,-0.77,0.476470865,6.97,1,37,0.578438824,1,1,45k-65k,55,-0.443413637,2,889,0.244732967,1,0,0,0,1,0,0,0,2.439381338,-0.834975019,-0.743819183,-0.666278948,0,0,0,-0.305775062,-0.568772913,1,0,2,-0.429593756,-0.932638373,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0.864570794,2,3,174,7,-0.90967828,0.833815199,0.517817344,0,0,0,457,,,,2,1.491964455,,,,-0.5575932,1,0,0,0,0,0,0,0,0,16,1,11,0.172498868,-0.300216672
7.45,-37.45,0.209766021,7.45,1,17,-1.517910626,1,2,45k-65k,55,-0.443413637,2,80,-2.044790837,0,0,1,0,0,0,1,0,-0.677308354,-0.834975019,2.104691659,-0.666278948,0,0,0,-0.305775062,-0.568772913,1,0,3,-0.429593756,-0.497204335,0,0,0,0,0,0,3.646,0,0,-2.646,0,1,0,1,0.864570794,2,3,0,0,-0.90967828,-1.358991692,-1.078954164,1,1,1,12,,,,2,-0.724546937,,,,-0.5575932,1,0,0,0,0,0,0,0,0,16,0,18,0.172498868,0.422192569
7.9,0,0.48206963,7.9,1,34,0.263986406, ,1,45k-65k,55,-0.443413637,2,677,-0.355241133,0,1,0,0,0,1,0,0,-0.677308354,1.940173391,-0.743819183,-0.666278948,0,0,0,-0.305775062,-0.568772913,0,1,1,3.510715962,-1.368072411,0,0,0,0,0,0,0,0,0,0,1,0,1,0,-1.402691609,2,1,101,3,-1.653627847,-0.086155508,-0.394623518,1,1,0,,,,,1,,,,,-1.191974174,0,0,0,0,0,1,0,0,0,12,0,22,-1.580354536,0.83499785
8,-29.9,0.26466301,8,1,30,-0.155283484, ,2,45k-65k,55,-0.443413637,2,1048,0.694713541,0,0,0,0,0,0,0,0,-0.677308354,-0.834975019,-0.743819183,-0.666278948,0,0,0.18,-0.305775062,0.282666744,0,1,2,3.510715962,-0.932638373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.402691609,2,5,5,2,-0.165728714,-1.295979999,-0.622733733,1,1,0,2,106,836,,4,-0.774356182,-0.149522002,4.672003092,,0.711168748,0,0,1,0,0,0,0,0,0,18,1,22,1.04892557,0.83499785
